BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by J Milo Real Estate,Condo for sale,198000,1,1,750,118-18 Union Tpke Unit 7D,"Queens, NY 11415"
Brokered by Howard Hanna | Rand Realty,House for sale,549000,5,3,496,2808 Wickham Ave,"Bronx, NY 10469"
Brokered by RE MAX Elite,House for sale,1088888,3,4,1320,1568 W 2nd St,"Brooklyn, NY 11204"
Brokered by CAROZZA NICHOLAS M,House for sale,888000,4,2,2686,3079 Giegerich Pl,"Bronx, NY 10465"
Brokered by All American Realty Management,For sale,65000,3,1,230,1287266 45 Madison St Unit 1,"Manhattan, NY 10038"
Brokered by Real Broker NY LLC,House for sale,1449999,3,2,2184.207862,21-89 47th St,"Long Island City, NY 11105"
Brokered by Serhant,Townhouse for sale,14900000,5,5,2184.207862,45 W 70th St,"New York, NY 10023"
Brokered by Flateau Realty Corp,Coming Soon,1695000,5,2,2250,871 Putnam Ave,"Ny, NY 11221"
Brokered by EXP Realty,House for sale,2499000,5,2.373860858,4100,152 Whitson St,"Forest Hills, NY 11375"
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,1970000,4,4,2508,59 Duffield St,"Brooklyn, NY 11201"
Brokered by COMPASS,Co-op for sale,1895000,2,2,2184.207862,905 Union St Apt 1,"Brooklyn, NY 11215"
Brokered by DiTommaso Real Estate,House for sale,689000,3,2.373860858,1248,46 Kirshon Ave,"Staten Island, NY 10314"
Brokered by Martino Realty Group,House for sale,649999,3,2,1440,219 Slater Blvd,"Staten Island, NY 10305"
Brokered by EXP Realty,House for sale,669000,3,2,864,74 Holly St,"Staten Island, NY 10304"
Brokered by Corcoran Westside Columbus,House for sale,800000,3,2,825,1485 E 53rd St,"Brooklyn, NY 11234"
Brokered by COMPASS,Co-op for sale,2375000,1,2,2184.207862,10 Bleecker St Apt 5D,"Manhattan, NY 10012"
Brokered by Corcoran West Side Gallery,For sale,2400000,6,6,6688,726 Nostrand Ave,"Brooklyn, NY 11216"
Brokered by eXp Realty BKNY,House for sale,390000,2,1,586,231 Freeborn St,"Staten Island, NY 10306"
Brokered by COMPASS,Condo for sale,2250000,1,1,2184.207862,302 W 12th St Apt 7F,"Manhattan, NY 10014"
Brokered by RE MAX Edge,House for sale,1450000,4,2.373860858,2700,308 Poillon Ave,"Staten Island, NY 10312"
Brokered by ROCKAWAY PROPERTIES,Condo for sale,725000,2,2,792,627 Wilson Ave Apt 3,"Brooklyn, NY 11207"
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,269000,1,1,2184.207862,4901 Henry Hudson Pkwy W Apt 5F,"Bronx, NY 10471"
Brokered by COMPASS,Co-op for sale,695000,2,2,2184.207862,575 Park Ave Unit 1101,"Manhattan, NY 10065"
Brokered by Winzone Realty Inc,House for sale,1300000,3,2,2184.207862,246 Newman Ave,"Bronx, NY 10473"
Brokered by Ilite Realty Inc,Co-op for sale,459000,3,2,1250,2475 W 16th St Apt 19H,"Brooklyn, NY 11214"
"Brokered by Robert DeFalco Realty, Inc.",House for sale,689999,3,2,1008,596 College Ave,"Staten Island, NY 10302"
